,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,cabo san lucas,22.8909,-109.9124,83.5,56,94,4.99,MX,1669838155
161,nikolskoye,59.7035,30.7861,24.69,86,100,3.83,RU,1669838361
162,sao filipe,14.8961,-24.4956,76.23,65,68,8.32,CV,1669838363
163,nago,26.5881,127.9761,64.45,80,100,18.88,JP,1669838363
164,kirkwall,58.9848,-2.9587,46.96,81,100,18.41,GB,1669838363
165,dong hoi,17.4833,106.6,76.41,88,100,6.17,VN,1669838364
166,comodoro rivadavia,-45.8667,-67.5,64.26,42,0,16.11,AR,1669838364
167,ambilobe,-13.2,49.05,76.84,82,98,1.92,MG,1669838365
168,san juan,-31.5375,-68.5364,81.75,32,25,19.48,AR,1669838162
169,lebu,-37.6167,-73.65,56.37,64,0,20.87,CL,1669838365
170,sobolevo,54.4299,31.8996,19.81,87,100,7.81,RU,1669838365
171,yambio,4.5721,28.3955,68.56,93,100,4.36,SS,1669838366
172,hambantota,6.1241,81.1185,76.05,90,100,7.74,LK,1669838366
173,hienghene,-20.6833,164.9333,79.25,81,72,5.08,NC,1669838367
174,eenhana,-17.4667,16.3333,83.88,28,96,5.55,NA,1669838071
175,hilo,19.7297,-155.09,83.28,92,29,3.0,US,1669838367
176,sao jose da coroa grande,-8.8978,-35.1478,77.31,79,100,9.75,BR,1669838368
177,bambous virieux,-20.3428,57.7575,76.21,78,40,4.61,MU,1669838368
178,namibe,-15.1961,12.1522,70.0,74,75,8.81,AO,1669838345
179,souillac,-20.5167,57.5167,75.58,78,40,4.61,MU,1669838368
180,salihorsk,52.7876,27.5415,13.82,98,74,6.13,BY,1669838369
181,luderitz,-26.6481,15.1594,63.48,78,0,10.58,NA,1669838370
182,oktyabrskiy,54.4815,53.471,3.47,99,74,1.48,RU,1669838370
183,bereda,43.2686,-7.5406,47.41,100,96,2.53,ES,1669838370
184,kuruman,-27.4524,23.4325,75.99,29,99,8.3,ZA,1669838371
185,egvekinot,66.3167,-179.1667,9.88,84,15,5.64,RU,1669838371
186,binzhou,37.3667,118.0167,17.78,25,2,5.82,CN,1669838372
187,severo-kurilsk,50.6789,156.125,29.01,83,45,9.53,RU,1669838372
188,aseri,59.4506,26.8675,30.9,88,100,4.34,EE,1669838372
189,northam,51.0333,-4.2167,45.25,89,77,8.55,GB,1669838373
190,vardo,70.3705,31.1107,30.18,86,20,12.66,NO,1669838373
191,lanxi,29.2195,119.477,35.62,91,100,3.11,CN,1669838373
192,dhidhdhoo,6.8833,73.1,81.68,67,36,2.24,MV,1669838374
193,maldonado,-34.6667,-54.9167,85.39,40,19,14.45,UY,1669838167
194,sitka,57.0531,-135.33,22.78,43,0,8.08,US,1669838374
195,saint-paul,-21.0096,55.2707,75.31,79,90,3.38,RE,1669838264
196,fort nelson,58.8053,-122.7002,-22.41,69,0,5.75,CA,1669838375
197,havelock,34.8791,-76.9013,66.97,89,100,7.0,US,1669838375
198,paamiut,61.994,-49.6678,26.11,85,100,46.95,GL,1669838375
199,kawalu,-7.3817,108.2082,72.46,93,100,2.35,ID,1669838377
200,poum,-20.2333,164.0167,81.45,82,50,16.04,NC,1669838377
201,caucaia,-3.7361,-38.6531,86.31,71,40,13.8,BR,1669838266
202,nemuro,43.3236,145.575,30.24,58,2,22.73,JP,1669838378
203,merauke,-8.4667,140.3333,78.35,86,100,11.32,ID,1669838106
204,grindavik,63.8424,-22.4338,46.35,100,75,13.8,IS,1669838378
205,pevek,69.7008,170.3133,-1.23,94,100,5.3,RU,1669838379
206,ville-marie,47.3335,-79.433,33.8,71,100,11.72,CA,1669838140
207,puerto del rosario,28.5004,-13.8627,67.75,73,40,8.05,ES,1669838295
208,itoman,26.1247,127.6694,66.22,82,100,18.41,JP,1669838380
209,yar-sale,66.8333,70.8333,-9.81,100,34,4.21,RU,1669838380
210,thabazimbi,-24.5917,27.4116,73.81,42,0,1.88,ZA,1669838381
211,broome,42.2506,-75.833,50.85,92,100,23.02,US,1669838381
212,amapa,1.0,-52.0,75.97,91,100,2.1,BR,1669838381
213,pathein,16.7833,94.7333,76.42,90,81,4.47,MM,1669838382
214,craig,40.5153,-107.5464,33.42,71,100,2.13,US,1669838090
215,cambridge,43.3601,-80.3127,33.75,74,100,25.32,CA,1669838132
216,mar del plata,-38.0023,-57.5575,66.22,93,100,17.27,AR,1669838251
217,bauchi,10.5,10.0,69.67,25,78,6.29,NG,1669838383
218,alpena,45.0617,-83.4327,31.17,83,100,11.01,US,1669838383
219,baykit,61.67,96.37,0.21,97,100,5.82,RU,1669838384
220,kysyl-syr,63.8986,122.7617,-30.84,98,100,4.05,RU,1669838384
221,rock hill,34.9249,-81.0251,62.44,66,100,13.8,US,1669838239
222,esperance,-33.8667,121.9,64.83,66,28,14.85,AU,1669838385
223,renigunta,13.65,79.5167,72.39,92,47,2.59,IN,1669838385
224,ciortesti,46.9,27.8333,33.62,74,100,4.68,RO,1669838385
225,torbay,47.6666,-52.7314,25.57,78,20,9.22,CA,1669838318
226,erenhot,43.6475,111.9767,3.06,68,61,10.4,CN,1669838386
227,kayerkan,69.3497,87.7602,-3.33,99,100,3.31,RU,1669838386
228,manta,-0.95,-80.7333,76.78,69,100,10.36,EC,1669838386
229,rio bonito,-22.7086,-42.6097,76.03,86,91,9.84,BR,1669838387
230,port lincoln,-34.7333,135.8667,57.24,80,11,12.77,AU,1669838387
231,lasa,46.6166,10.7002,36.01,95,100,1.86,IT,1669838388
232,klaksvik,62.2266,-6.589,49.12,89,100,31.47,FO,1669838388
233,kuching,1.55,110.3333,79.02,95,20,1.14,MY,1669838389
234,kulhudhuffushi,6.6221,73.07,81.54,67,49,2.66,MV,1669838389
235,champerico,14.3,-91.9167,91.94,73,12,8.75,GT,1669838390
236,rio gallegos,-51.6226,-69.2181,66.25,22,75,33.38,AR,1669838390
237,mayo,38.8876,-76.5119,59.11,89,100,10.36,US,1669838390
238,ostrovnoy,68.0531,39.5131,19.85,94,82,7.81,RU,1669838391
239,bracebridge,45.0334,-79.3163,34.88,93,100,18.41,CA,1669838224
240,mwanza,-2.5167,32.9,71.65,88,75,0.0,TZ,1669838391
241,ballina,-28.8667,153.5667,60.01,99,100,18.25,AU,1669838392
242,ancud,-41.8697,-73.8203,55.89,54,11,7.31,CL,1669838392
243,dicabisagan,17.0818,122.4157,78.69,87,100,7.09,PH,1669838392
244,vila franca do campo,37.7167,-25.4333,62.2,84,84,3.62,PT,1669838393
245,bacolod,10.6667,122.95,77.88,84,96,10.69,PH,1669838393
246,sur,22.5667,59.5289,74.84,54,99,2.82,OM,1669838394
247,makakilo city,21.3469,-158.0858,80.62,70,100,6.26,US,1669838394
248,oranjemund,-28.55,16.4333,62.44,85,1,4.65,NA,1669838395
